"Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Record Type","Latitude","Longitude","Location Employee Size Actual","Location Sales Volume Actual"
"Bonchon","Peter","Han","57 Jfk St # 5","Cambridge","MA","02138","Verified","042.372142","-071.120913","00010","$560,000"
"Bondir Cambridge","Jason","Bond","279a Broadway","Cambridge","MA","02139","Verified","042.368286","-071.097771","00006","$336,000"
"Border Cafe-Cambridge","Martin","Lopez","32 Church St","Cambridge","MA","02138","Verified","042.374217","-071.120343","00110","$6,150,000"
"Bosphorus Mediteranian Rstrnt","","","1164 Cambridge St","Cambridge","MA","02139","Verified","042.365600","-071.104100","00006","$336,000"
"Boston Burger Co","","","1105 Massachusetts Ave","Cambridge","MA","02138","Verified","042.370614","-071.113351","00006","$336,000"
"Brakefast","Irene P","Mccarthy","35 Jfk St","Cambridge","MA","02138","Verified","042.372818","-071.120173","00006","$336,000"
"Brazen Eats","","","8 Kelly Rd # 2","Cambridge","MA","02139","Verified","042.361872","-071.108745","00006","$336,000"
"Bridgesteet Restaurant","","","1166 Cambridge St","Cambridge","MA","02139","Verified","042.373072","-071.096825","00006","$336,000"
"Brookline Lunch","Jamal","Rubin","5 Brookline St","Cambridge","MA","02139","Verified","042.363878","-071.101722","00002","$112,000"
"Bukowski's Tavern","","","1281 Cambridge St","Cambridge","MA","02139","Verified","042.373678","-071.098771","00012","$671,000"
"Burger King","Maria","Perdomo","100 Cambridgeside Pl # W226","Cambridge","MA","02141","Verified","042.367850","-071.075740","00022","$1,230,000"
"Burger King","Elizabeth","Mc Mahon","679 Concord Ave","Cambridge","MA","02138","Verified","042.390556","-071.150259","00022","$1,230,000"
"C'Est Bon","","","12 Quincy St","Cambridge","MA","02138","Verified","042.372585","-071.114548","00006","$336,000"
"Cafe Anthony","Nancy","Tas","43 Gore St","Cambridge","MA","02141","Verified","042.371810","-071.079458","00004","$224,000"
"Cafe Artscience","Salvatore","Rappo","650 E Kendall St","Cambridge","MA","02142","Verified","042.364471","-071.080627","00006","$336,000"
"Cafe Avec","Charbel","Salameh","2269 Massachusetts Ave # 1","Cambridge","MA","02140","Verified","042.394798","-071.126858","00004","$224,000"
"Cafe De Pays","Rachel E","Miller-Munzer","233 Cardinal Medeiros Ave","Cambridge","MA","02141","Verified","042.367662","-071.091181","00006","$336,000"
